Gene ID,Gene Name,Col.0,pp7l.1
AT1G01010,NAC001,21.628992892581426,15.657414920841996
AT1G01020,ARV1,55.19122324313881,81.05014782553503
AT1G01030,NGA3,8.204100752358471,2.7630732213250577
AT1G01040,DCL1,125.29899330874757,128.94341699516937
AT1G01046,MIR838A,2.98330936449399,2.7630732213250577
AT1G01050,PPA1,231.2064757482842,231.1771261841965
AT1G01060,LHY,11.93323745797596,10.13126847819188
AT1G01070,NA,29.833093644939897,27.630732213250578
AT1G01080,NA,210.32331019682627,186.04693023588723
AT1G01090,PDH-E1 ALPHA,799.5269096843892,682.4790856672893
AT1G01100,RPP1A,956.1506513203237,1644.949591095518
AT1G01110,IQD18,16.408201504716942,11.973317292408584
AT1G01120,KCS1,818.1725932124767,807.7384050340253
AT1G01130,NA,15.662374163593446,21.18356136349211
AT1G01140,CIPK9,504.1792825994843,670.5057683748807
AT1G01150,NA,1.491654682246995,3.6840976284334106
AT1G01160,GIF2,52.95374121976832,41.446098319875865
AT1G01170,NA,178.9985618696394,212.75663804202946
AT1G01180,NA,109.63661914515413,185.12590582877888
AT1G01183,MIR165A,1.491654682246995,2.7630732213250577
AT1G01190,CYP78A8,5.220791387864482,0.9210244071083526
AT1G01200,RABA3,8.949928093481969,13.815366106625289
AT1G01210,NA,37.29136705617487,58.024537647826214
AT1G01220,FKGP,90.2451082759432,97.62858715348538
AT1G01225,NA,19.391510869210933,21.18356136349211
AT1G01230,NA,171.5402884584044,198.0202475282958
AT1G01240,NA,44.74964046740985,45.13019594830928
AT1G01250,ERF023,20.883165551457928,15.657414920841996
AT1G01260,BHLH13,55.93705058426231,68.15580612601809
AT1G01270,NA,0,0
AT1G01280,CYP703A2,0,0
AT1G01290,CNX3,41.766331102915856,24.86765899192552
AT1G01300,APF2,554.8955417958821,471.56449643947656
AT1G01305,NA,0,1.8420488142167053
AT1G01310,NA,14.17071948134645,7.368195256866821
AT1G01320,NA,1702.7238197849447,1496.664661551073
AT1G01335,AREP1,0,0
AT1G01340,CNGC10,16.408201504716942,23.025610177708817
AT1G01350,NA,32.816403009433884,35.919951877225756
AT1G01355,NA,1.491654682246995,0
AT1G01360,PYL9,17.899856186963937,23.94663458481717
AT1G01370,HTR12,22.374820233704924,36.840976284334104
AT1G01380,ETC1,6.7124460701114765,14.736390513733642
AT1G01390,NA,70.10777006560876,40.52507391276752
AT1G01400,NA,0,0
AT1G01410,APUM22,0,0
AT1G01420,UGT72B3,16.408201504716942,8.289219663975175
AT1G01430,TBL25,410.2050376179236,361.04156758647423
AT1G01440,NA,81.29518018246122,91.1814163037269
AT1G01448,NA,7.458273411234974,13.815366106625289
AT1G01450,NA,0,0
AT1G01453,NA,29.833093644939897,35.919951877225756
AT1G01460,PIP5K10,0,1.8420488142167053
AT1G01470,LEA14,231.2064757482842,264.33400484009724
AT1G01480,ACS2,2.237482023370492,3.6840976284334106
AT1G01490,NA,109.63661914515413,126.18034377384431
AT1G01500,NA,85.7701442292022,82.89219663975173
AT1G01510,AN,111.12827382740112,74.60297697577657
AT1G01520,NA,5.96661872898798,2.7630732213250577
AT1G01530,AGL28,0.7458273411234975,0
AT1G01540,NA,311.01000124849844,362.8836164006909
AT1G01550,BPS1,792.0686362731543,904.4459677804023
AT1G01560,MPK11,0.7458273411234975,4.605122035541763
AT1G01570,NA,17.15402884584044,21.18356136349211
AT1G01580,FRO2,92.48259029931369,68.15580612601809
AT1G01590,FRO1,0,0
AT1G01600,CYP86A4,19.391510869210933,13.815366106625289
AT1G01610,GPAT4,294.6017997437815,273.5442489111807
AT1G01620,PIP1-3,3942.4433251788073,5525.225418243008
AT1G01630,NA,133.50309406110603,110.52292885300231
AT1G01640,NA,8.949928093481969,18.420488142167052
AT1G01650,SPPL4,268.4978428044591,320.51649367370675
AT1G01660,NA,5.96661872898798,6.447170849758469
AT1G01670,PUB56,2.98330936449399,2.7630732213250577
AT1G01680,PUB54,0,0
AT1G01690,ATPRD3,15.662374163593446,22.104585770600462
AT1G01695,NA,0.7458273411234975,1.8420488142167053
AT1G01700,ATROPGEF2,8.949928093481969,6.447170849758469
AT1G01710,NA,147.67381354245248,184.20488142167054
AT1G01715,NA,20.883165551457928,16.57843932795035
AT1G01720,NAC002,650.3614414596898,1006.6796769694295
AT1G01725,NA,8.949928093481969,9.210244071083526
AT1G01730,NA,63.39532399549728,72.76092816155986
AT1G01740,BSK4,23.86647491595192,39.60404950565916
