Gene ID	Gene Name	SRR8186097	SRR8186093	SRR8186095	SRR8186096	SRR8186092	SRR8186094
AT1G01010	NAC001	9	10	10	2	12	3
AT1G01020	ARV1	33	35	6	22	23	43
AT1G01030	NGA3	8	3	0	0	3	0
AT1G01040	DCL1	84	41	43	58	48	34
AT1G01046	MIR838A	2	1	1	1	0	2
AT1G01050	PPA1	125	85	100	117	84	50
AT1G01060	LHY	5	8	3	4	5	2
AT1G01070		14	8	18	7	15	8
AT1G01080		146	56	80	98	51	53
AT1G01090	PDH-E1 ALPHA	341	416	315	356	219	166
AT1G01100	RPP1A	303	614	365	703	605	478
AT1G01110	IQD18	10	5	7	6	5	2
AT1G01120	KCS1	487	352	258	271	357	249
AT1G01130		7	11	3	5	13	5
AT1G01140	CIPK9	176	252	248	224	358	146
AT1G01150		1	0	1	2	2	0
AT1G01160	GIF2	30	23	18	17	17	11
AT1G01170		126	45	69	102	94	35
AT1G01180		46	68	33	66	64	71
AT1G01183	MIR165A	1	0	1	1	2	0
AT1G01190	CYP78A8	1	4	2	1	0	0
AT1G01200	RABA3	5	6	1	6	2	7
AT1G01210		14	25	11	24	21	18
AT1G01220	FKGP	48	36	37	56	31	19
AT1G01225		15	9	2	8	7	8
AT1G01230		60	117	53	65	81	69
AT1G01240		24	21	15	11	24	14
AT1G01250	ERF023	7	11	10	6	6	5
AT1G01260	BHLH13	36	19	20	37	19	18
AT1G01270		0	0	0	0	0	0
AT1G01280	CYP703A2	0	0	0	0	0	0
AT1G01290	CNX3	25	20	11	13	8	6
AT1G01300	APF2	286	205	253	325	100	87
AT1G01305		0	0	0	0	0	2
AT1G01310		9	6	4	3	4	1
AT1G01320		1110	444	729	816	484	325
AT1G01335	AREP1	0	0	0	0	0	0
AT1G01340	CNGC10	7	11	4	4	16	5
AT1G01350		31	6	7	7	15	17
AT1G01355		0	0	2	0	0	0
AT1G01360	PYL9	11	9	4	9	8	9
AT1G01370	HTR12	9	18	3	17	21	2
AT1G01380	ETC1	3	2	4	13	3	0
AT1G01390		42	10	42	31	7	6
AT1G01400		0	0	0	0	0	0
AT1G01410	APUM22	0	0	0	0	0	0
AT1G01420	UGT72B3	14	0	8	6	3	0
AT1G01430	TBL25	240	175	135	150	163	79
AT1G01440		53	32	24	32	42	25
AT1G01448		3	6	1	8	3	4
AT1G01450		0	0	0	0	0	0
AT1G01453		7	25	8	9	16	14
AT1G01460	PIP5K10	0	0	0	0	2	0
AT1G01470	LEA14	133	87	90	91	126	70
AT1G01480	ACS2	1	0	2	0	2	2
AT1G01490		75	39	33	39	45	53
AT1G01500		38	38	39	42	25	23
AT1G01510	AN	65	45	39	45	19	17
AT1G01520		1	4	3	2	1	0
AT1G01530	AGL28	1	0	0	0	0	0
AT1G01540		169	131	117	133	139	122
AT1G01550	BPS1	422	381	259	279	405	298
AT1G01560	MPK11	0	1	0	1	3	1
AT1G01570		7	11	5	7	7	9
AT1G01580	FRO2	46	51	27	16	27	31
AT1G01590	FRO1	0	0	0	0	0	0
AT1G01600	CYP86A4	10	9	7	6	5	4
AT1G01610	GPAT4	171	108	116	124	94	79
AT1G01620	PIP1-3	1377	2762	1147	1450	2261	2288
AT1G01630		98	32	49	49	40	31
AT1G01640		6	4	2	2	12	6
AT1G01650	SPPL4	101	182	77	111	146	91
AT1G01660		4	3	1	4	3	0
AT1G01670	PUB56	2	1	1	2	0	1
AT1G01680	PUB54	0	0	0	0	0	0
AT1G01690	ATPRD3	14	4	3	8	11	5
AT1G01695		0	1	0	0	2	0
AT1G01700	ATROPGEF2	6	2	4	2	3	2
AT1G01710		61	84	53	69	71	60
AT1G01715		10	14	4	9	3	6
AT1G01720	NAC002	171	433	268	281	509	303
AT1G01725		5	6	1	7	1	2
AT1G01730		37	28	20	27	32	20
AT1G01740	BSK4	18	9	5	18	19	6
AT1G01750	ADF11	15	17	5	12	20	8
AT1G01760		8	18	12	14	14	11
AT1G01770		39	46	39	68	47	32
AT1G01780	PLIM2B	25	21	17	18	29	18
AT1G01790	KEA1	369	218	187	214	157	190
AT1G01800		109	68	73	102	79	57
AT1G01810		1	6	0	0	1	2
AT1G01820	PEX11C	65	75	45	68	90	68
AT1G01830		22	17	13	19	21	17
AT1G01840		0	0	0	1	0	1
AT1G01860	PFC1	27	25	15	16	28	20
AT1G01870		0	0	0	0	0	0
AT1G01880	GEN1	3	2	9	10	4	4
AT1G01890		0	0	0	0	0	0
AT1G01900	SBTI1.1	17	4	8	8	9	8
AT1G01910		100	68	68	86	56	49
AT1G01920		30	30	20	29	24	21
AT1G01930		24	17	9	22	22	17
AT1G01940	CYP18-1	21	15	22	12	15	8
AT1G01950	ARK2	87	91	50	70	96	75
AT1G01960	BIG3	413	292	265	342	215	247
AT1G01970		73	34	56	59	28	25
AT1G01980	SEC1A	2	0	0	0	0	0
AT1G01990		33	23	29	23	31	16
AT1G02000	GAE2	22	13	23	14	7	5
AT1G02010	SEC1A	34	32	30	30	38	37
AT1G02020		1	12	12	10	12	7
AT1G02030	ZAT1	0	0	0	0	0	0
AT1G02040		0	0	0	0	1	1
AT1G02050	PKSA	0	5	2	4	1	1
AT1G02060		9	8	6	10	6	1
AT1G02065	SPL8	0	0	0	0	0	0
AT1G02067		0	0	0	0	0	0
AT1G02070		0	1	0	0	0	1
AT1G02080		612	559	422	511	429	368
AT1G02090	CSN7	60	71	40	60	83	43
AT1G02100	LCMT1	96	79	55	79	77	55
AT1G02110		29	21	18	10	5	9
AT1G02120	VAD1	74	110	69	87	95	86
AT1G02130	RABD2A	112	96	85	84	97	55
AT1G02140	MEE63	274	227	182	220	194	148
AT1G02145	ALG12	54	69	36	67	56	58
AT1G02150		142	63	105	137	50	41
AT1G02160		20	15	17	21	17	14
AT1G02170	AMC1	13	9	5	9	13	10
AT1G02180		25	16	17	17	10	9
AT1G02190		0	0	0	0	0	0
AT1G02205	CER1	60	20	31	46	13	15
AT1G02210		0	0	0	0	0	0
AT1G02220	NAC003	9	6	7	11	8	4
AT1G02230	NAC004	1	0	0	2	0	1
AT1G02250	NAC005	0	0	0	0	0	0
AT1G02260		33	28	23	24	26	25
AT1G02270		61	50	44	53	67	43
AT1G02280	TOC33	121	48	75	85	38	28
AT1G02290		23	15	12	13	16	7
AT1G02300	CATHB1	95	101	62	121	93	76
AT1G02305	CATHB2	176	152	121	125	170	110
AT1G02310	MAN1	3	3	2	3	7	5
AT1G02320		0	0	0	0	0	0
AT1G02330	CSU2	17	6	8	6	3	3
